ID_Venda,Data,ID_Cliente,ID_Produto,Quantidade,Valor_Venda,Canal
1066,07/03/2026,3,7,1,5200,Loja Física
1067,04/04/2026,28,2,6,900,E-commerce
1068,19/06/2026,8,5,5,950,E-commerce
1069,25/03/2026,26,5,3,950,Loja Física
1070,18/04/2026,25,3,5,80,E-commerce
1071,21/05/2026,1,5,5,950,Loja Física
1072,21/04/2026,38,6,8,450,E-commerce
1073,24/04/2026,14,8,3,180,Loja Física
1074,14/03/2026,33,6,2,450,Loja Física
1075,22/06/2026,20,4,4,120,Loja Física
1076,07/01/2026,3,4,8,120,Loja Física
1077,27/04/2026,27,4,7,120,E-commerce
1078,13/04/2026,16,3,1,80,Loja Física
1079,19/04/2026,15,3,8,80,Loja Física
1080,23/05/2026,16,2,8,900,Loja Física
1081,29/04/2026,34,6,8,450,E-commerce
1082,21/05/2026,29,3,8,80,E-commerce
1083,08/03/2026,16,5,8,950,Loja Física
1084,12/03/2026,29,2,5,900,Loja Física
1085,11/03/2026,22,6,2,450,Loja Física
1086,08/02/2026,15,7,3,5200,Loja Física
1087,17/01/2026,27,7,6,5200,E-commerce
1088,17/04/2026,4,4,7,120,E-commerce
1089,30/05/2026,2,7,8,5200,Loja Física
1090,01/04/2026,20,7,7,5200,Loja Física
1091,05/05/2026,15,5,7,950,E-commerce
1092,08/01/2026,25,6,7,450,Loja Física
1093,30/04/2026,9,1,7,3500,Loja Física
1094,22/01/2026,42,7,3,5200,E-commerce
1095,16/02/2026,4,5,7,950,E-commerce
1096,24/02/2026,30,6,6,450,E-commerce
1097,13/03/2026,27,5,2,950,E-commerce
1098,05/01/2026,35,1,6,3500,Loja Física
1099,16/06/2026,5,1,1,3500,Loja Física
1100,21/02/2026,2,3,4,80,Loja Física
1101,02/05/2026,8,4,8,120,E-commerce
1102,05/04/2026,11,2,3,900,E-commerce
1103,28/01/2026,38,1,5,3500,E-commerce
1104,12/04/2026,13,2,4,900,Loja Física
1105,28/06/2026,20,2,1,900,E-commerce
1106,17/05/2026,28,6,2,450,E-commerce
1107,04/01/2026,27,8,2,180,E-commerce
1108,03/04/2026,41,8,3,180,E-commerce
1109,15/02/2026,34,5,8,950,E-commerce
1110,22/04/2026,38,5,6,950,Loja Física
1111,23/01/2026,18,8,4,180,E-commerce
1112,26/05/2026,40,7,6,5200,Loja Física
1113,07/05/2026,21,3,8,80,Loja Física
1114,01/04/2026,17,6,5,450,E-commerce
1115,23/05/2026,1,4,2,120,Loja Física
1116,15/04/2026,32,4,8,120,E-commerce
1117,25/04/2026,2,2,5,900,Loja Física
1118,14/04/2026,16,5,6,950,E-commerce
1119,22/05/2026,34,6,7,450,E-commerce
1120,01/04/2026,30,5,5,950,E-commerce
1121,01/03/2026,8,4,6,120,Loja Física
1122,18/05/2026,12,4,4,120,E-commerce
1123,12/03/2026,38,5,2,950,Loja Física
1124,17/03/2026,15,6,3,450,E-commerce
1125,04/01/2026,35,3,5,80,Loja Física
1126,14/01/2026,36,5,3,950,E-commerce
1127,27/01/2026,1,5,8,950,E-commerce
1128,23/04/2026,22,3,1,80,E-commerce
1129,03/05/2026,8,2,7,900,E-commerce
1130,19/01/2026,37,1,3,3500,Loja Física
1131,25/05/2026,20,2,4,900,Loja Física
1132,23/05/2026,27,4,7,120,E-commerce
1133,24/04/2026,20,7,5,5200,Loja Física
1134,06/06/2026,7,4,4,120,E-commerce
1135,19/06/2026,6,3,4,80,Loja Física
1136,22/05/2026,5,3,1,80,E-commerce
1137,26/04/2026,39,8,5,180,Loja Física
1138,01/03/2026,19,5,8,950,Loja Física
1139,25/06/2026,15,5,4,950,E-commerce
1140,30/01/2026,35,4,3,120,E-commerce
1141,06/02/2026,5,1,3,3500,E-commerce
1142,02/06/2026,37,5,8,950,Loja Física
1143,30/04/2026,20,7,5,5200,E-commerce
1144,23/04/2026,6,1,7,3500,E-commerce
1145,04/06/2026,17,1,2,3500,Loja Física
1146,22/06/2026,37,1,5,3500,Loja Física
1147,14/02/2026,31,8,5,180,Loja Física
1148,30/05/2026,28,8,2,180,E-commerce
1149,31/03/2026,27,6,6,450,Loja Física
1150,11/02/2026,22,7,8,5200,E-commerce
1151,19/06/2026,26,1,8,3500,Loja Física
1152,22/03/2026,17,6,2,450,E-commerce
1153,12/05/2026,1,8,7,180,Loja Física
1154,18/02/2026,34,6,8,450,E-commerce
1155,14/01/2026,14,5,3,950,E-commerce
1156,23/04/2026,32,2,1,900,Loja Física
1157,10/02/2026,20,1,7,3500,Loja Física
1158,27/02/2026,8,8,2,180,Loja Física
1159,08/05/2026,19,5,7,950,E-commerce
1160,01/05/2026,16,8,3,180,E-commerce
1161,18/02/2026,39,3,2,80,E-commerce
1162,17/04/2026,22,5,1,950,E-commerce
1163,18/03/2026,38,8,3,180,E-commerce
1164,18/05/2026,31,6,6,450,E-commerce
1165,27/04/2026,21,4,4,120,E-commerce
1166,01/03/2026,27,1,6,3500,E-commerce
1167,30/06/2026,25,7,3,5200,E-commerce
1168,10/01/2026,9,6,2,450,E-commerce
1169,26/01/2026,34,8,1,180,Loja Física
1170,15/04/2026,42,3,2,80,E-commerce
1171,09/03/2026,22,7,2,5200,E-commerce
1172,22/06/2026,35,7,6,5200,E-commerce
1173,19/05/2026,3,2,4,900,E-commerce
1174,28/02/2026,6,7,2,5200,Loja Física
1175,24/04/2026,11,5,1,950,Loja Física
1176,25/03/2026,4,5,6,950,E-commerce
1177,21/04/2026,10,4,7,120,Loja Física
1178,13/02/2026,12,2,7,900,Loja Física
1179,08/05/2026,38,3,4,80,E-commerce
1180,13/06/2026,17,8,5,180,Loja Física
1181,30/04/2026,19,3,2,80,E-commerce
1182,30/03/2026,38,5,7,950,E-commerce
1183,27/04/2026,20,4,7,120,E-commerce
1184,28/01/2026,16,7,6,5200,E-commerce
1185,29/06/2026,19,1,7,3500,E-commerce
1186,03/01/2026,37,1,8,3500,E-commerce
1187,28/02/2026,39,6,4,450,Loja Física
1188,08/06/2026,17,3,2,80,Loja Física
1189,21/03/2026,29,1,6,3500,Loja Física
1190,24/01/2026,19,6,7,450,Loja Física
1191,21/02/2026,9,6,5,450,Loja Física
1192,07/03/2026,31,5,6,950,Loja Física
1193,30/04/2026,5,3,4,80,E-commerce
1194,23/05/2026,24,2,7,900,Loja Física
1195,09/03/2026,35,2,8,900,E-commerce
1196,22/06/2026,17,7,6,5200,Loja Física
1197,22/06/2026,15,8,1,180,E-commerce
1198,06/06/2026,15,2,8,900,E-commerce
1199,16/06/2026,27,2,3,900,Loja Física
1200,10/01/2026,20,8,2,180,Loja Física
1201,02/03/2026,35,3,7,80,E-commerce
1202,05/04/2026,35,7,3,5200,E-commerce
1203,17/06/2026,7,8,7,180,E-commerce
1204,09/01/2026,24,4,8,120,E-commerce
1205,02/03/2026,24,2,6,900,E-commerce
1206,16/01/2026,26,5,4,950,Loja Física
1207,27/04/2026,6,4,1,120,Loja Física
1208,27/03/2026,16,3,4,80,Loja Física
1209,22/05/2026,14,4,4,120,E-commerce
1210,07/02/2026,39,1,5,3500,Loja Física
1211,03/02/2026,35,5,3,950,Loja Física
1212,19/06/2026,2,3,1,80,E-commerce
1213,02/03/2026,38,6,1,450,Loja Física
1214,09/03/2026,4,3,7,80,Loja Física
1215,17/01/2026,31,8,6,180,Loja Física
1216,26/04/2026,33,4,1,120,E-commerce
1217,28/04/2026,42,1,1,3500,E-commerce
1218,13/04/2026,28,2,8,900,E-commerce
1219,19/01/2026,6,6,3,450,Loja Física
1220,02/02/2026,18,6,7,450,E-commerce
1221,27/04/2026,33,7,2,5200,Loja Física
1222,17/06/2026,42,4,7,120,E-commerce
1223,28/02/2026,27,6,8,450,E-commerce
1224,17/04/2026,7,6,7,450,E-commerce
1225,20/06/2026,17,6,3,450,E-commerce
1226,18/01/2026,6,2,2,900,E-commerce
1227,25/01/2026,24,3,1,80,E-commerce
1228,21/06/2026,8,7,6,5200,E-commerce
1229,14/01/2026,19,5,6,950,Loja Física
1230,28/05/2026,33,4,3,120,E-commerce
1231,27/02/2026,7,6,6,450,Loja Física
1232,13/03/2026,37,4,7,120,Loja Física
1233,05/06/2026,18,1,3,3500,E-commerce
1234,29/06/2026,20,6,6,450,Loja Física
1235,16/02/2026,10,7,2,5200,Loja Física
1236,12/06/2026,2,2,4,900,E-commerce
1237,18/04/2026,30,6,3,450,E-commerce
1238,21/03/2026,21,2,1,900,Loja Física
1239,10/02/2026,40,1,2,3500,E-commerce
1240,24/04/2026,28,8,8,180,E-commerce
1241,11/03/2026,14,2,6,900,E-commerce
1242,29/01/2026,19,8,5,180,Loja Física
1243,26/02/2026,26,1,1,3500,Loja Física
1244,19/03/2026,14,3,5,80,E-commerce
1245,25/03/2026,8,1,8,3500,E-commerce
1246,14/02/2026,9,7,4,5200,E-commerce
1247,19/01/2026,26,1,7,3500,Loja Física
1248,28/04/2026,5,6,7,450,E-commerce
1249,13/06/2026,27,5,2,950,E-commerce
1250,06/01/2026,21,3,8,80,E-commerce
1251,23/01/2026,28,2,4,900,E-commerce
1252,31/05/2026,26,2,7,900,E-commerce
1253,28/03/2026,15,6,3,450,Loja Física
1254,11/05/2026,41,2,4,900,E-commerce
1255,31/03/2026,42,3,4,80,Loja Física
1256,07/02/2026,17,4,3,120,Loja Física
1257,17/06/2026,5,3,8,80,E-commerce
1258,25/05/2026,38,8,6,180,E-commerce
1259,08/02/2026,29,2,8,900,E-commerce
1260,11/06/2026,20,5,1,950,E-commerce
1261,10/05/2026,5,5,8,950,E-commerce
1262,10/01/2026,4,6,5,450,Loja Física
1263,15/06/2026,6,7,8,5200,Loja Física
1264,26/04/2026,37,4,6,120,E-commerce
1265,09/05/2026,10,1,8,3500,Loja Física
1266,29/03/2026,6,3,1,80,Loja Física
1267,23/04/2026,29,3,6,80,E-commerce
1268,14/03/2026,25,7,6,5200,Loja Física
1269,11/06/2026,42,6,2,450,E-commerce
1270,25/01/2026,36,7,5,5200,E-commerce
1271,18/06/2026,39,3,6,80,Loja Física
1272,30/05/2026,10,6,5,450,E-commerce
1273,03/02/2026,39,2,5,900,E-commerce
1274,14/06/2026,22,3,2,80,E-commerce
1275,11/05/2026,24,1,6,3500,E-commerce
1276,16/02/2026,14,6,8,450,Loja Física
1277,27/02/2026,9,3,2,80,E-commerce
1278,26/01/2026,33,1,6,3500,Loja Física
1279,02/06/2026,25,3,3,80,Loja Física
1280,27/06/2026,40,3,8,80,Loja Física
1281,16/04/2026,24,4,8,120,E-commerce
1282,25/04/2026,15,4,5,120,E-commerce
1283,19/02/2026,24,8,8,180,E-commerce
1284,08/04/2026,33,7,3,5200,Loja Física
1285,04/06/2026,9,5,1,950,E-commerce
1286,06/04/2026,36,2,2,900,E-commerce
1287,22/01/2026,11,5,8,950,Loja Física
1288,22/04/2026,6,4,8,120,E-commerce
1289,07/01/2026,27,1,7,3500,E-commerce
1290,02/03/2026,25,2,6,900,Loja Física
1291,08/01/2026,21,2,6,900,Loja Física
1292,05/02/2026,3,5,8,950,Loja Física
1293,30/06/2026,31,8,1,180,Loja Física
1294,05/01/2026,17,4,3,120,E-commerce
1295,29/01/2026,19,4,5,120,Loja Física
1296,13/01/2026,16,7,8,5200,Loja Física
1297,29/01/2026,32,1,4,3500,Loja Física
1298,16/03/2026,28,1,6,3500,Loja Física
1299,27/05/2026,27,3,2,80,E-commerce
1300,18/01/2026,34,1,7,3500,E-commerce
1301,12/01/2026,41,7,6,5200,E-commerce
1302,05/01/2026,23,2,6,900,Loja Física
1303,18/06/2026,41,2,6,900,Loja Física
1304,12/01/2026,23,6,3,450,E-commerce
1305,28/06/2026,31,3,3,80,Loja Física
1306,28/04/2026,3,5,4,950,Loja Física
1307,21/02/2026,3,6,5,450,E-commerce
1308,20/05/2026,31,5,1,950,Loja Física
1309,15/03/2026,23,1,6,3500,E-commerce
1310,01/02/2026,24,7,7,5200,E-commerce
1311,09/04/2026,22,3,8,80,E-commerce
1312,05/04/2026,34,5,2,950,E-commerce
1313,21/01/2026,28,3,5,80,E-commerce
1314,27/01/2026,6,6,5,450,E-commerce
1315,25/04/2026,39,7,3,5200,E-commerce
1316,31/03/2026,29,1,6,3500,E-commerce
1317,12/03/2026,41,1,2,3500,E-commerce
1318,04/04/2026,33,3,1,80,Loja Física
1319,05/06/2026,29,1,3,3500,Loja Física
1320,02/03/2026,42,6,6,450,E-commerce
1321,26/05/2026,3,3,8,80,E-commerce
1322,06/04/2026,29,2,3,900,E-commerce
1323,12/04/2026,21,5,4,950,Loja Física
1324,07/01/2026,12,8,7,180,Loja Física
1325,09/03/2026,17,8,4,180,E-commerce
1326,27/06/2026,32,4,2,120,Loja Física
1327,19/01/2026,29,3,8,80,Loja Física
1328,24/06/2026,21,6,2,450,E-commerce
1329,18/03/2026,11,3,6,80,Loja Física
1330,01/02/2026,13,3,4,80,E-commerce
1331,07/01/2026,24,6,8,450,Loja Física
1332,06/06/2026,6,2,5,900,E-commerce
1333,03/05/2026,34,7,7,5200,Loja Física
1334,02/02/2026,21,2,8,900,E-commerce
1335,24/06/2026,34,6,3,450,Loja Física
1336,03/02/2026,28,1,2,3500,Loja Física
1337,19/03/2026,11,3,6,80,Loja Física
1338,30/03/2026,34,5,2,950,E-commerce
1339,20/02/2026,41,5,3,950,E-commerce
1340,07/06/2026,35,2,3,900,Loja Física
1341,13/02/2026,40,6,1,450,Loja Física
1342,21/01/2026,3,5,4,950,E-commerce
1343,08/06/2026,41,1,8,3500,E-commerce
1344,14/06/2026,20,8,4,180,E-commerce
1345,18/03/2026,30,2,1,900,Loja Física
1346,23/04/2026,27,8,8,180,Loja Física
1347,29/03/2026,39,3,6,80,E-commerce
1348,30/03/2026,26,3,6,80,Loja Física
1349,23/03/2026,16,8,2,180,E-commerce
1350,26/04/2026,16,3,2,80,Loja Física
1351,16/03/2026,25,7,4,5200,Loja Física
1352,25/03/2026,37,6,4,450,Loja Física
1353,08/05/2026,33,8,8,180,E-commerce
1354,08/05/2026,2,2,7,900,E-commerce
1355,03/03/2026,14,6,1,450,Loja Física
1356,14/03/2026,32,8,5,180,Loja Física
1357,28/01/2026,28,3,5,80,E-commerce
1358,14/04/2026,24,1,7,3500,Loja Física
1359,26/05/2026,36,4,6,120,E-commerce
1360,19/01/2026,25,8,5,180,Loja Física
1361,02/02/2026,7,7,6,5200,E-commerce
1362,23/05/2026,24,3,4,80,E-commerce
1363,09/05/2026,3,1,1,3500,Loja Física
1364,27/03/2026,31,8,3,180,Loja Física
1365,25/03/2026,40,6,3,450,E-commerce
1366,07/06/2026,20,6,8,450,E-commerce
1367,02/05/2026,2,6,6,450,Loja Física
1368,17/04/2026,38,5,1,950,E-commerce
1369,09/03/2026,42,4,1,120,E-commerce
1370,13/02/2026,34,7,3,5200,Loja Física
1371,09/01/2026,37,2,4,900,Loja Física
1372,23/04/2026,21,7,3,5200,E-commerce
1373,26/06/2026,14,7,8,5200,Loja Física
1374,30/06/2026,9,4,6,120,E-commerce
1375,15/05/2026,25,6,3,450,E-commerce
1376,17/05/2026,22,6,5,450,E-commerce
1377,19/02/2026,16,5,5,950,Loja Física
1378,18/03/2026,19,4,8,120,E-commerce
1379,03/05/2026,23,5,5,950,Loja Física
1380,27/05/2026,35,7,7,5200,E-commerce
1381,07/02/2026,19,1,5,3500,Loja Física
1382,30/03/2026,29,5,8,950,Loja Física
1383,21/02/2026,35,5,5,950,Loja Física
1384,28/01/2026,40,4,4,120,Loja Física
1385,21/06/2026,34,4,4,120,Loja Física
1386,26/01/2026,27,6,8,450,Loja Física
1387,24/06/2026,9,1,3,3500,E-commerce
1388,17/06/2026,31,8,4,180,E-commerce
1389,24/03/2026,19,1,2,3500,Loja Física
1390,17/05/2026,3,3,7,80,Loja Física
1391,10/01/2026,26,8,3,180,E-commerce
1392,10/01/2026,1,5,2,950,E-commerce
1393,14/03/2026,30,8,3,180,E-commerce
1394,11/03/2026,13,2,6,900,Loja Física
1395,28/04/2026,42,5,3,950,Loja Física
1396,28/03/2026,19,4,3,120,E-commerce
1397,20/04/2026,33,6,2,450,E-commerce
1398,21/06/2026,7,3,3,80,E-commerce
1399,24/03/2026,16,1,5,3500,E-commerce
1400,02/03/2026,29,5,6,950,E-commerce
1401,30/05/2026,37,1,5,3500,E-commerce
1402,27/06/2026,16,1,2,3500,E-commerce
1403,20/03/2026,11,7,5,5200,Loja Física
1404,13/06/2026,19,6,4,450,Loja Física
1405,04/02/2026,31,3,8,80,E-commerce
1406,17/04/2026,36,8,4,180,Loja Física
1407,24/06/2026,39,2,8,900,E-commerce
1408,20/01/2026,37,2,1,900,Loja Física
1409,27/05/2026,35,3,3,80,E-commerce
1410,14/05/2026,29,2,4,900,E-commerce
1411,24/01/2026,33,8,1,180,E-commerce
1412,03/02/2026,33,7,8,5200,Loja Física
1413,24/05/2026,30,5,1,950,E-commerce
1414,07/03/2026,1,4,2,120,Loja Física
1415,19/04/2026,23,2,1,900,Loja Física
1416,01/05/2026,3,5,7,950,Loja Física
1417,04/02/2026,42,7,6,5200,E-commerce
1418,25/04/2026,25,7,2,5200,Loja Física
1419,17/06/2026,23,2,3,900,E-commerce
1420,16/05/2026,9,4,1,120,Loja Física
1421,18/03/2026,30,7,7,5200,Loja Física
1422,05/03/2026,30,6,3,450,E-commerce
1423,18/02/2026,8,1,7,3500,Loja Física
1424,03/03/2026,14,2,2,900,Loja Física
1425,25/04/2026,39,1,4,3500,Loja Física
1426,13/04/2026,29,4,4,120,Loja Física
1427,05/02/2026,33,5,4,950,E-commerce
1428,28/05/2026,39,6,4,450,E-commerce
1429,06/02/2026,34,4,7,120,E-commerce
1430,12/03/2026,4,3,7,80,E-commerce
1431,13/01/2026,23,7,6,5200,E-commerce
1432,15/04/2026,10,5,7,950,Loja Física
1433,18/05/2026,31,4,4,120,E-commerce
1434,06/02/2026,30,1,7,3500,E-commerce
1435,23/05/2026,34,3,7,80,Loja Física
1436,07/03/2026,14,6,2,450,E-commerce
1437,05/04/2026,6,4,1,120,E-commerce
1438,07/04/2026,39,1,2,3500,Loja Física
1439,31/05/2026,36,4,8,120,Loja Física
1440,27/03/2026,20,1,4,3500,Loja Física
1441,31/01/2026,31,4,4,120,E-commerce
1442,03/03/2026,36,6,5,450,E-commerce
1443,30/04/2026,35,6,5,450,E-commerce
1444,03/04/2026,33,8,8,180,Loja Física
1445,01/05/2026,21,4,6,120,E-commerce
1446,16/04/2026,3,4,3,120,Loja Física
1447,08/03/2026,36,7,5,5200,Loja Física
1448,20/02/2026,22,4,7,120,Loja Física
1449,08/05/2026,36,6,5,450,E-commerce
1450,14/06/2026,32,8,3,180,E-commerce
1450,14/06/2026,32,8,3,180,E-commerce
1452,,5,2,2,900,E-commerce
